ts	phase	decision	why	evidence	result
2026-09-04T14:08:00Z	frame	used the Feature workflow with architecture and interrogation before shared contracts	the slice changes kernel trust boundaries and connector lifecycle	poteto-mode/SKILL.md, init-spec.md	in progress
2026-09-04T14:10:00Z	runtime	used Node's built-in WebSocket through a kernel broker	avoids an avoidable dependency while keeping socket ownership in the kernel	node v24.18.0 runtime probe	WebSocket and CloseEvent available
2026-09-04T14:11:00Z	baseline	confirmed the branch starts clean and plugin boundaries pass	keeps Slice 9 defects attributable to this work	git status --short, pnpm check:boundaries	clean and green
2026-09-04T14:12:00Z	baseline	ran the full build and unit suite before changing product code	establishes a known-good Slice 8 base	pnpm test	44 files and 265 tests passed
2026-09-04T14:18:00Z	architecture	split trust, communication, scanner, and gateway exploration into separate read-only tracks	the tracks share contracts but not evidence gathering	agent transcripts	in progress
2026-09-04T14:28:00Z	discord	used the official v10 Gateway protocol and Message Content intent as the connector boundary	realtime behavior must follow Discord close, heartbeat, resume, and intent rules	Discord Gateway documentation	reviewed
2026-09-04T15:53:00Z	pickup	resumed Slice 9 from the existing uncommitted working tree instead of starting over	the last session already implemented classification, scanners, mock and Discord Gateway; how plus completeness review will decide what still needs to ship	git status, docs/architecture.md:1193, decisions.tsv	in progress
2026-09-04T16:30:00Z	harden	reserved borg.channel.inboundMessage so plugins cannot emit it	completeness review showed a plugin could skip scan and classification by declaring the event	packages/kernel/src/command-event-bus.ts, packages/kernel/src/plugin-manager.ts	in progress
2026-09-04T16:42:00Z	harden	fixed concurrent outbound approval sharing, buffered model tokens, Discord persist queue, and truncated-scan coverage	defect review found four real fail-open paths	packages/kernel/src/{trust-authorizer,communication-service,loop-manager,scanner-registry}.ts, plugins/channel-discord/src/runtime.ts	tests green
2026-09-04T16:44:00Z	harden	kept live model token streaming and dropped denied tokens from run history instead of buffering	buffering hid chat-streaming-message in the Slice 4 journey	packages/kernel/src/loop-manager.ts, tests/e2e/slice-4-chat.spec.ts	open
2026-09-04T16:47:00Z	verify	Slice 9 hardening holds after rebuild	chat streaming and channel journeys are the matching surfaces	slice-4-chat.spec.ts, slice-9-channels.spec.ts, 450 unit tests	13 e2e passed, 450 unit passed
2026-09-04T20:32:58Z	frame	split the run into a graph designer rescue followed by trust and delivery units	the broken user path is the riskiest unknown and each later unit needs its own real check	tests/e2e/slice-5-graphs.spec.ts, project assessment	framed
2026-09-04T20:35:16Z	frame	set a six-unit predicate covering graph UI, model trust, durable classification, bot recovery, MCP policy, and CI	each unit can finish with a direct regression check; Apple signing needs credentials not present in the repository	tests/e2e/slice-5-graphs.spec.ts, package.json, project assessment	VERIFIED scope
2026-09-04T20:37:05Z	ui-baseline	captured the graph designer at default and minimum window sizes with pixel and layout metrics	the existing e2e only proved buttons worked and did not prove the canvas or inspector were usable	scripts/verify-graph-designer.mjs, test-results/graph-designer/default.png, test-results/graph-designer/minimum.png	NOT VERIFIED default canvas height assertion failed
2026-09-04T20:41:14Z	graph-ui	fixed the zero-height Cytoscape container and responsive three-pane editor	Cytoscape overwrote absolute positioning; a full-size inner container and smaller supported-width tracks keep nodes and controls visible	plugins/graphs/src/ui.tsx, tests/e2e/slice-5-graphs.spec.ts, scripts/verify-graph-designer.mjs, test-results/graph-designer/default.png, test-results/graph-designer/minimum.png	VERIFIED 5 Electron tests and visual harness green
2026-09-04T21:25:19Z	architecture	selected Candidate 2 and grafted opaque grants, dispatch permits, policy wait, and host-owned merge rules	it has the smallest caller API and matches the existing chat, graph, bot, tool, and store lifecycles	.pstack-work/arena-execution-security/synthesized-design.ts, .pstack-work/arena-execution-security/synthesis.txt, .pstack-work/arena-execution-security/judge.txt	VERIFIED sketch compiles
2026-09-05T04:40:22Z	recovery	took over the cancelled agent snapshot and fixed three stale unit expectations plus one expired command-context leak	the snapshot compiled; the failures separated contract changes from one real MCP regression	packages/kernel/test/{loop-manager,model-gateway,plugin-manager}.test.ts, packages/kernel/src/plugin-manager.ts	494 unit and 36 Electron tests passed
2026-09-05T08:37:31Z	recovery	detached long-lived loops from expired command contexts	dynamic MCP preparation inherited a completed chat command and rejected host calls	packages/kernel/src/plugin-manager.ts, packages/kernel/test/plugin-manager.test.ts, tests/e2e/slice-8-mcp.spec.ts	VERIFIED MCP journey and 36 Electron tests passed
2026-09-05T08:37:31Z	ux	made informational toasts pointer-transparent and labeled interrupted bots explicitly	setup toasts blocked Continue and the new durable bot state displayed as Stopped	apps/desktop/src/renderer/App.tsx, plugins/bots/src/ui.tsx	VERIFIED affected journeys and full Electron suite passed
